"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Ashton Dulin","IND","0.7","8.3","0.0","0.0","0.0","0.0","0.0","1.5"
"River Cracraft","SF","0.7","8.3","0.0","0.0","0.0","0.0","0.0","1.5"
"Fred Brown","TEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.5"
"Justin Hardy","CHI","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.5"
"Tyrie Cleveland","DEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.5"
"Kevin White","SF","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.5"
"Ryan Switzer","CLE","0.8","7.1","0.0","0.0","0.0","0.0","0.0","1.5"
"C.J. Board","NYG","0.7","7.7","0.0","0.0","0.0","0.0","0.0","1.5"
"Keith Kirkwood","CAR","0.7","7.6","0.0","0.0","0.0","0.0","0.0","1.4"
"Jordan Matthews","SF","0.7","7.6","0.0","0.0","0.0","0.0","0.0","1.4"
""
""
